gene_id,UMAP_1,UMAP_2,Trend
Fth1,729.057874,362.2476304,Covary
Igfbp7,531.9951022,219.0136734,Covary
Umod,500.7041988,648.1708998,Covary
Atp1b1,356.5009636,1305.835496,Covary
Cox6a1,294.3490076,380.6087737,Covary
Ptms,254.6877951,123.5837973,Covary
Atp1a1,211.7228582,1032.494211,Covary
Tns1,162.0859758,90.92049042,Covary
Actb,155.681074,200.5606444,Covary
Mgp,138.0912257,95.84617892,Covary
Timp3,136.261445,70.01788448,Covary
Igfbp5,134.4776737,503.3057045,Covary
Spp1,129.5380011,797.4379179,Covary
Fxyd2,128.0283448,625.2855206,Covary
Tpt1,101.2577299,74.80633829,Covary
Pabpn1,99.85878997,67.47789333,Covary
Itm2b,97.8382817,108.5050741,Covary
B2m,93.71362951,75.03064865,Covary
Rsrp1,85.13206674,70.53345219,Covary
Eef1a1,78.60045253,74.27463588,Covary
Ctsb,76.83056749,71.12368906,Covary
C130074G19Rik,74.26199937,10.04800198,Covary
Mdh2,70.95766295,126.4021195,Covary
Cd74,70.09327337,34.08764042,Covary
Cfl1,69.93829796,74.20658172,Covary
Atpif1,69.15081937,31.25642203,Covary
Ctsd,63.68431339,66.93750812,Covary
Hist1h1c,62.57710071,48.98731424,Covary
Atp5a1,56.50871235,260.1920205,Covary
Car15,56.25968366,30.10661377,Covary
Cystm1,55.36597875,43.16349413,Covary
Pfn1,54.0929912,73.41803552,Covary
Esd,51.65678242,45.43176063,Covary
Cox8a,51.39969627,134.9555461,Covary
H2-D1,51.37981941,55.05129444,Covary
Uqcrc1,51.17391824,88.02647993,Covary
Aldh4a1,51.0819858,20.78427374,Covary
Gpi1,50.7307308,77.45076817,Covary
Park7,48.98172311,14.03308444,Covary
Atp5e,48.77474463,83.30978235,Covary
Rab5c,47.43078324,27.81269792,Covary
Uqcr11,46.84362401,94.68309376,Covary
Slc25a5,43.45633705,111.0146914,Covary
Hnrnpab,43.26206056,49.76595668,Covary
Serf2,42.95307123,44.1975233,Covary
Skp1a,42.65563141,48.87892623,Covary
Chchd10,41.67944978,64.79202866,Covary
Edf1,41.27683196,48.38440543,Covary
S100a1,40.21552191,69.4297562,Covary
Car2,39.98917482,48.84806169,Covary
